,District,No,Yes
0,Artukainen,0.7447354924726342,0.2552645075273659
1,Friskala,0.5935434529201897,0.4064565470798103
2,Haarla,0.7647401741225195,0.23525982587748048
3,Halinen,0.7971762414818531,0.202823758518147
4,Harittu,0.803913965757903,0.19608603424209706
5,Huhkola,0.8241056296936661,0.17589437030633395
6,I,0.5287145636919967,0.47128543630800335
7,III,0.6615575040986791,0.3384424959013209
8,IV,0.771785738283454,0.22821426171654602
9,IX,0.7148906695206425,0.28510933047935744
10,Illoinen,0.7687084344842117,0.23129156551578836
11,Ilpoinen,0.6322394768725335,0.36776052312746654
12,Ispoinen,0.8407466633288001,0.15925333667119984
13,Itäharju,0.5559779283611869,0.44402207163881313
14,Jäkärlä,0.5188693076083628,0.48113069239163714
15,Kaerla,0.9123801785024088,0.08761982149759119
16,Kaistarniemi,0.5791483258679668,0.42085167413203317
17,Kakskerta,0.7796393016307741,0.22036069836922587
18,Kastu,0.7148984912667316,0.28510150873326845
19,Kohmo,0.7586812056583143,0.2413187943416857
20,Koivula,0.5269142758518577,0.4730857241481424
21,Koroinen,0.652349946674696,0.34765005332530396
22,Kukola,0.48873719335757526,0.5112628066424247
23,Kupittaa,0.4576883560963778,0.5423116439036222
24,Kurala,0.6544819585627695,0.3455180414372305
25,Kurjenmäki,0.4576883560963778,0.5423116439036222
26,Kähäri,0.8673516957686795,0.1326483042313204
27,Kärsämäki,0.6444898282727036,0.3555101717272963
28,Lauste,0.7027640940942408,0.29723590590575916
29,Lauttaranta,0.9079611009341779,0.0920388990658221
30,Luolavuori,0.7167757557789258,0.28322424422107423
31,Maanpää,0.9270911988115262,0.07290880118847382
32,Moikoinen,0.8707937229160376,0.12920627708396237
33,Mälikkälä,0.8616620661977084,0.13833793380229165
34,Nummi,0.4576883560963778,0.5423116439036222
35,Oriketo,0.6054166407351693,0.39458335926483074
36,Paattinen,0.4576883560963778,0.5423116439036222
37,Pahaniemi,0.9052700097551429,0.0947299902448571
38,Pansio,0.8855677383595343,0.11443226164046576
39,Papinsaari,0.6911587198789519,0.30884128012104806
40,Peltola,0.37513039869313813,0.6248696013068619
41,Perno,0.7999432415294825,0.2000567584705175
42,Pihlajaniemi,0.6817456501459562,0.31825434985404377
43,Pikisaari,0.8980732781127085,0.10192672188729143
44,Pitkämäki,0.6372916615955969,0.3627083384044031
45,Pohjola,0.5896197548135527,0.4103802451864474
46,Port of Turku,0.8511886189287945,0.1488113810712055
47,Puistomäki,0.8500812819370973,0.14991871806290263
48,Pääskyvuori,0.6998632017012594,0.3001367982987406
49,Raunistula,0.6817474395305905,0.3182525604694095
50,Ruissalo,0.9268793951481553,0.0731206048518447
51,Runosmäki,0.6916074979936805,0.3083925020063195
52,Ruohonpää,0.6017089009073247,0.3982910990926753
53,Räntämäki,0.8495735436882662,0.15042645631173376
54,Saramäki,0.7813766693647756,0.2186233306352244
55,Satava,0.79057924085542,0.20942075914457997
56,Skanssi,0.9640293854921912,0.03597061450780876
57,Teräsrautela,0.30830120012328044,0.6916987998767196
58,Toijainen,0.8365756695532623,0.16342433044673768
59,Uittamo,0.8582758177790534,0.1417241822209466
60,V,0.7866985458643768,0.21330145413562318
61,VI,0.4396679628888599,0.5603320371111401
62,VIII,0.7542224926081963,0.24577750739180373
63,Vaala,0.8359181349701484,0.16408186502985156
64,Varissuo,0.6291811724095737,0.37081882759042634
65,Vasaramäki,0.8092729001875231,0.19072709981247693
66,Vähäheikkilä,0.6351320232733166,0.3648679767266833
67,Vätti,0.7734135419778067,0.22658645802219332
68,Yli-Maaria,0.7086739862957233,0.2913260137042767
